Volt	VoltFs	VoltErr	VoltErrA	Cur	CurFs	CurErr
80	20	8.352245207	8	0.013	4	0.002
100	20	8.544003745	9	0.024	4	0.002
120	20	8.77268488	9	0.042	4	0.002
140	50	7.657675888	8	0.072	4	0.002
160	50	8.002499609	8	0.112	4	0.002
180	50	8.376156637	8	0.182	4	0.003
200	50	8.774964387	9	0.271	4	0.003
220	50	9.195651146	9	0.395	4	0.004
240	50	9.635351576	10	0.592	4	0.004
260	50	10.09158065	10	0.861	4	0.005
280	50	10.56219674	11	1.241	4	0.007
300	50	11.04536102	11	1.581	4	0.009
320	50	11.53949739	12	2.010	4	0.010
340	100	14.83374531	15	2.817	4	0.013
360	100	15.25254077	15	3.800	4	0.017